ObjectId(62848f6d72c0ad6a3b118e9b),3571408,آپارتمان,"
اختیاریه جنوبی نرسیده به ك خداجو
",1401/02/28,4,3,100,65000000,6500000000
ObjectId(62848f7072c0ad6a3b118e9c),3532883,مغازه,"
سهروردی شمالی نرسیده به خ هویزه
",1401/02/28,0,0,28,714285000,20000000000
ObjectId(62848f7372c0ad6a3b118e9d),3434937,کلنگی,"
یوسف آباد میدان سلماس
",1401/02/28,0,4,390,120000000,27720000000
ObjectId(62848f7672c0ad6a3b118e9e),3804287,کلنگی,"
دیباجی جنوبی بالاتر از پارك ارغوان
",1401/02/28,0,0,220,150000000,32250000000
ObjectId(62848f7972c0ad6a3b118e9f),3823573,آپارتمان,"
پاسداران خ بهستان
",1401/02/28,2,3,192,96354000,18500000000
ObjectId(62848f7c72c0ad6a3b118ea0),3889883,اداری,"
دبستان نرسیده به كابلی
",1401/02/28,1,2,86,47674418,4100000000
ObjectId(62848f7f72c0ad6a3b118ea1),3471545,آپارتمان,"
یوسف آباد خ جهان آرا
",1401/02/28,3,3,160,40625000,6500000000
ObjectId(62848f8172c0ad6a3b118ea2),3837288,آپارتمان,"
دیباجی جنوبی خ كاووس شرقی
",1401/02/28,2,2,127,100000000,12700000000
ObjectId(62848f8372c0ad6a3b118ea3),3855583,اداری,"
شهرك غرب بلوار فرحزادی
",1401/02/28,5,2,95,120000000,11400000000
ObjectId(62848f8572c0ad6a3b118ea4),3889881,اداری,"
پاسداران خ بوستان
",1401/02/28,5,2,125,90000000,11250000000
ObjectId(62848f8872c0ad6a3b118ea5),3883416,اداری,"
سهروردی شمالی بالاتر از خ قندی
",1401/02/28,4,2,71,58000000,4118000000
ObjectId(62848f8b72c0ad6a3b118ea6),3464315,اداری,"
ولیعصر نرسیده به پله كان هفتم
",1401/02/28,2,2,130,100000000,13000000000
ObjectId(62848f8d72c0ad6a3b118ea7),3889878,آپارتمان,"
كن خ سولقان شهرك شهدا
",1401/02/28,5,2,92,23000000,2116000000
ObjectId(62848f8f72c0ad6a3b118ea8),3889877,آپارتمان,"
یوسف آباد خ جهان آرا خ 29
",1401/02/28,4,2,100,44000000,4400000000
ObjectId(62848f9272c0ad6a3b118ea9),3833106,مغازه,"
میرداماد میدان محسنی
",1401/02/28,2,0,70,107142000,7500000000
ObjectId(62848f9472c0ad6a3b118eaa),3889876,اداری,"
شریعتی نرسیده به ك موزه
",1401/02/28,1,1,69,70000000,4830000000
ObjectId(62848f9772c0ad6a3b118eab),2955114,آپارتمان,"
كن خ سولقان شهرك شهدا
",1401/02/28,4,2,92,24000000,2208000000
ObjectId(62848f9972c0ad6a3b118eac),3163764,مغازه,"
میرزای شیرازی نرسیده به كریم خان
",1401/02/28,0,0,90,138888000,12500000000
ObjectId(62848f9c72c0ad6a3b118ead),3889874,آپارتمان,"
فرمانیه بلوار اندرزگو
",1401/02/28,1,3,143,100000000,14300000000
ObjectId(62848f9f72c0ad6a3b118eae),3889873,اداری,"
قیطریه چیذر
",1401/02/28,5,3,180,66666000,12000000000
ObjectId(62848fa172c0ad6a3b118eaf),3884789,آپارتمان,"
فرمانیه خ عسگریان
",1401/02/28,4,4,430,190000000,81700000000
ObjectId(62848fa372c0ad6a3b118eb0),3525158,آپارتمان,"
شهران كوهسار خ بهاران
",1401/02/28,4,3,138,108430000,9000000000
ObjectId(62848fa672c0ad6a3b118eb1),3669460,تجاری,"
انقلاب بین كالج و ولیعصر
",1401/02/28,1,1,55,35000000,1925000000
ObjectId(62848fa972c0ad6a3b118eb2),2683032,تجاری,"
انقلاب بین كالج و ولیعصر
",1401/02/28,2,1,30,35000000,1050000000
ObjectId(62848fac72c0ad6a3b118eb3),3884778,آپارتمان,"
پاسداران خ بوستان
",1401/02/28,1,2,112,75892000,8500000000
ObjectId(62848faf72c0ad6a3b118eb4),3734461,اداری,"
ازگل بلوار صدرنژاد
",1401/02/28,6,0,60,65000000,3900000000
ObjectId(62848fb172c0ad6a3b118eb5),3889871,مستغلات,"
قیطریه بلوار صبا ك گودرزی
",1401/02/28,0,0,60,175000000,7000000000
ObjectId(62848fb472c0ad6a3b118eb6),3889870,اداری,"
اشرفی اصفهانی خ پیامبرشرقی
",1401/02/28,2,2,85,47058000,4000000000
